lyapunov,spectral_entropy,spectral_flatness,mode_count,final_C,final_S,condition,seed,total_reward,reward_mean,reward_std,episode_length,final_branching,final_depth,final_noise
-5.0238505863337775,2.488581216663074,0.1919521136519342,2,0.03344035791326203,9.274781480033402,trained_params,11,-8.970759146724287,-0.17941518293448566,0.14200794275561215,50,2,2,0.1
-3.594668760218847,2.9168228540103307,0.2687370137867131,2,0.06637548034934894,6.952853385146041,trained_params,12,-5.629002631947581,-0.1125800526389516,0.20598813027762952,50,2,2,0.1
-3.54290803671793,2.7258636756130272,0.24746890327083876,2,0.08821836663153657,6.730460963809591,trained_params,13,-7.468592665581573,-0.14937185331163141,0.23572612379908786,50,2,2,0.1
-4.268064749815819,2.471080062521081,0.18590040861167714,2,0.0,0.0,trained_params,14,-8.452196314897181,-0.1690439262979436,0.20331636217495108,50,2,2,0.1
-5.5346874253072915,1.8500635252053095,0.07500819692144181,2,0.00880949644375422,9.430900681950686,trained_params,15,-11.38785005721327,-0.22775700114426542,0.1024193627693333,50,2,2,0.1
-4.7733056824085365,1.9056856485513358,0.1139585413544422,2,0.03711579076069986,11.638418901976559,trained_params,16,-22.226740782972236,-0.4445348156594448,0.10761393636831637,50,2,2,0.05
-4.749675344326672,2.311429439621484,0.1539841514850394,2,0.02795381604440578,9.571763217790533,trained_params,17,-10.60284589082295,-0.212056917816459,0.12444202812659727,50,2,2,0.05
-3.7229880470280654,2.8650521616608,0.2539512408282597,2,0.04580422473066164,7.6049300817257315,trained_params,18,-5.6629674717878755,-0.11325934943575752,0.17364692416229682,50,2,2,0.1
-4.342757412758074,2.730538544053474,0.19948944699498009,2,0.03924894071630797,8.84593818122953,trained_params,19,-7.121391176609416,-0.14242782353218839,0.17184120416052526,50,2,2,0.1
-5.455902500545243,1.1687349726447123,0.04505325039787929,2,0.07109195406359871,11.638418901976557,trained_params,20,-22.326881175454123,-0.44653762350908244,0.08076710260623493,50,2,2,0.005
