lyapunov,spectral_entropy,spectral_flatness,mode_count,final_C,final_S,mean_C,mean_S,condition,seed,total_reward,reward_mean,reward_std,episode_length
-0.3835302535090766,2.6977227117004317,0.1376912241777975,2,0.6828925198937201,6.670551792437934,0.29131544881187255,2.9450427886726906,trained_order,6,291.3154488118725,2.9131544881187255,3.3291882726177766,100
-0.8250250145081133,3.461858601051831,0.3396917140609996,2,0.7100917278634428,9.47790671449554,0.2949610363904958,5.5275391643541365,trained_order,7,291.47631699680926,2.9147631699680936,2.7260682590070555,100
-1.1613386240227799,3.4346594017960643,0.3141483861971934,2,0.20211069553853167,11.638418901976559,0.33356709739411355,7.164362714674769,trained_order,8,332.29187865481555,3.322918786548156,2.4903230179181333,100
-0.5025430055054882,3.3269870343706507,0.2921060008243527,2,0.0,0.0,0.21991664455346402,2.8016192170040197,trained_order,9,218.93811442993538,2.189381144299354,2.9029966184713443,100
-2.5567219816664943,2.7336838285165816,0.17748736669264856,6,0.4361895469577656,11.638418901976559,0.3409271709103559,11.274691405638578,trained_order,10,339.33592770223896,3.393359277022388,0.9142908886344545,100
-0.5039183153058744,3.1334170163675874,0.2564481103324094,2,0.7221280371800415,6.670551792437934,0.26756344524250103,4.1157045038517825,trained_order,11,263.2357686138862,2.6323576861388607,3.0023448678425777,100
-0.8023894648799856,2.9025112592450206,0.2497767259387346,2,0.7096674759988651,6.670551792437934,0.30002756703368316,5.614371346396877,trained_order,12,295.5844532532475,2.955844532532475,2.8450656976833155,100
-1.0022731239328642,3.106865841371645,0.24194050018195906,2,0.6037352524703506,6.670551792437934,0.28519959822874186,5.935047590870859,trained_order,13,277.3287878940801,2.773287878940801,2.686394046158703,100
-0.3742046299839656,3.256054857019948,0.23636227076434885,2,0.0,0.0,0.24962070423831492,2.554809681126415,trained_order,14,249.6207042383149,2.496207042383149,3.2350529889688753,100
-0.3752861269495549,3.2520666221176096,0.2410453373401068,2,0.6202518899507801,6.670551792437934,0.259568848958377,2.631515199050794,trained_order,15,259.56884895837703,2.5956884895837704,3.275052834533262,100
-0.3941551343631634,3.270005869537673,0.26550239634816925,2,0.6438572040386397,6.670551792437934,0.26534389547679704,2.9800365207627344,trained_order,16,265.0185687781191,2.6501856877811916,3.2226928903428873,100
-0.36847564431033586,3.2604075515668454,0.2533566750898865,2,0.0,0.0,0.273300233248337,3.0525916636943253,trained_order,17,272.91654126126707,2.7291654126126708,3.2654721885032725,100
-0.6014790331946542,3.2578927900873698,0.25136490394353417,2,0.0,0.0,0.3050847869139491,4.363190713566582,trained_order,18,301.79667237003326,3.017966723700332,3.029655777054573,100
-0.5738703730908613,3.414586879829638,0.28326363224711315,2,0.5596719773722673,6.670551792437934,0.28941612143210876,4.540931343488102,trained_order,19,287.12283644713335,2.8712283644713334,2.9829746910740162,100
-0.6717807082691261,3.313705720419877,0.23747282863369662,2,0.6503515916473116,6.670551792437934,0.27925939189956145,4.737731641511384,trained_order,20,276.48664159320174,2.7648664159320178,2.9207602578723164,100
-0.7923308889909739,3.456105339750578,0.32805240895920523,2,0.6174554523243554,6.670551792437934,0.2981538347637501,4.989814401325577,trained_order,21,294.0903535707982,2.940903535707982,2.807864577845702,100
-0.40672704515714764,3.0424083594300537,0.21320665479255796,2,0.0,0.0,0.2983697271608333,3.4101818913623516,trained_order,22,298.36972716083335,2.9836972716083334,3.2350109316910585,100
-0.6120370532326443,3.470747660228524,0.2979709264601841,2,0.20708277948466336,7.670551792437934,0.30563764275691646,4.0964563788157236,trained_order,23,303.8301869494454,3.0383018694944544,3.106462858070771,100
-0.4795886980289508,3.3935774979475672,0.27131546846342075,2,0.0,0.0,0.2704012637097614,3.391112985406266,trained_order,24,268.4627399298567,2.6846273992985674,3.09666704389241,100
-0.42535192318629006,3.2093702582966253,0.2630151480118116,2,0.6022791281557968,6.670551792437933,0.2795745596797465,3.330257092489098,trained_order,25,278.994165003353,2.789941650033529,3.2143695222562485,100
